iter	Passed	Remaining
399	32315	48472
400	32411	48414
401	32507	48356
402	32587	48274
403	32671	48198
404	32757	48125
405	32833	48037
406	32917	47960
407	33002	47885
408	33076	47795
409	33190	47761
410	33280	47694
411	33385	47647
412	33484	47591
413	33575	47524
414	33681	47478
415	33774	47413
416	33863	47344
417	33944	47263
418	34034	47192
419	34126	47126
420	34212	47052
421	34320	47007
422	34443	46982
423	34522	46898
424	34611	46827
425	34699	46754
426	34777	46668
427	34876	46610
428	34971	46547
429	35054	46467
430	35137	46388
431	35237	46330
432	35327	46260
433	35415	46186
434	35513	46127
435	35592	46041
436	35685	45974
437	35781	45911
438	35863	45829
439	35937	45738
440	36018	45655
441	36096	45569
442	36172	45480
443	36266	45414
444	36346	45331
445	36430	45252
446	36527	45188
447	36604	45101
448	36672	45003
449	36776	44948
450	36847	44854
451	36924	44766
452	37007	44687
453	37080	44594
454	37150	44499
455	37226	44411
456	37306	44327
457	37392	44249
458	37477	44172
459	37570	44104
460	37665	44038
461	37739	43947
462	37818	43863
463	37897	43778
464	37975	43692
465	38047	43599
466	38116	43503
467	38204	43428
468	38286	43347
469	38355	43252
470	38445	43179
471	38516	43085
472	38617	43026
473	38715	42963
474	38794	42878
475	38877	42798
476	38965	42723
477	39046	42641
478	39120	42550
479	39215	42483
480	39308	42413
481	39388	42330
482	39470	42249
483	39545	42159
484	39634	42085
485	39721	42009
486	39794	41918
487	39881	41842
488	39960	41758
489	40035	41669
490	40106	41577
491	40183	41490
492	40259	41402
493	40335	41315
494	40411	41228
495	40504	41157
496	40589	41079
497	40699	41025
498	40804	40967
499	40897	40897
500	40973	40810
501	41061	40734
502	41146	40656
503	41222	40568
504	41287	40469
505	41379	40398
506	41450	40305
507	41527	40220
508	41615	40143
509	41691	40056
510	41790	39991
511	41882	39918
512	41966	39839
513	42056	39765
514	42138	39683
515	42210	39592
516	42282	39502
517	42357	39413
518	42424	39318
519	42493	39224
520	42589	39156
521	42694	39095
522	42766	39004
523	42855	38930
